tree_dbh,spc_latin,latitude,longitude
19,Quercus palustris,40.61413136,-74.16527341
8,Pyrus calleryana,40.62658291,-74.13761906
18,Platanus x acerifolia,40.64304296,-73.97695175
25,Platanus x acerifolia,40.61423345,-73.94559591
18,Platanus x acerifolia,40.68373029,-73.98501492
23,Platanus x acerifolia,40.75594035,-73.76502429
9,Pyrus calleryana,40.80092413,-73.94228553
9,Quercus palustris,40.7091359,-73.90589449
4,Pyrus calleryana,40.76711313,-73.96633679
2,Platanus x acerifolia,40.72316643,-73.82057015
6,Pyrus calleryana,40.7782382,-73.84425812
31,Platanus x acerifolia,40.68174904,-73.89413164
7,Pyrus calleryana,40.75759942,-73.76470753
12,Pyrus calleryana,40.79074405,-73.80523308
11,Pyrus calleryana,40.81833567,-73.89063806
4,Pyrus calleryana,40.81494651,-73.95282504
20,Platanus x acerifolia,40.68089596,-73.79611142
19,Acer platanoides,40.76515645,-73.73229982
4,Pyrus calleryana,40.70081461,-73.93722546
4,Platanus x acerifolia,40.81563788,-73.91204931
29,Platanus x acerifolia,40.73198307,-73.75524324
13,Platanus x acerifolia,40.62638135,-74.01783913
9,Pyrus calleryana,40.82074357,-73.94534026
21,Acer platanoides,40.7276083,-73.82353629
10,Pyrus calleryana,40.53480653,-74.17854644
6,Pyrus calleryana,40.77014103,-73.98714169
8,Pyrus calleryana,40.7463121,-73.99415946
17,Acer platanoides,40.63208495,-73.9447268
31,Platanus x acerifolia,40.60809396,-73.97077539
17,Platanus x acerifolia,40.57087995,-73.86284022
24,Platanus x acerifolia,40.81183192,-73.94517555
20,Platanus x acerifolia,40.71190865,-73.94923651
15,Acer platanoides,40.70103069,-73.90838492
14,Pyrus calleryana,40.53911385,-74.18180144
23,Quercus palustris,40.88305563,-73.89429807
22,Platanus x acerifolia,40.6441197,-73.92190208
17,Platanus x acerifolia,40.69426107,-73.84742033
22,Platanus x acerifolia,40.72624953,-73.81265895
21,Platanus x acerifolia,40.60838668,-74.00433797
19,Quercus palustris,40.59626296,-74.0802687
18,Platanus x acerifolia,40.76105614,-73.81624331
31,Quercus palustris,40.61908882,-74.11834854
26,Platanus x acerifolia,40.6428265,-73.98456047
14,Platanus x acerifolia,40.77769733,-73.90799125
18,Platanus x acerifolia,40.62020397,-73.95548805
19,Acer platanoides,40.67898143,-73.81989545
13,Acer platanoides,40.74466309,-73.70275004
21,Quercus palustris,40.76325291,-73.82555208
6,Pyrus calleryana,40.68095558,-73.88418606
23,Quercus palustris,40.68753344,-73.97214468
4,Pyrus calleryana,40.81183576,-73.94324559
4,Quercus palustris,40.77655287,-73.94445636
21,Quercus palustris,40.77645136,-73.74604799
22,Platanus x acerifolia,40.69993899,-73.81378619
24,Platanus x acerifolia,40.61330553,-74.15865573
43,Platanus x acerifolia,40.76039051,-73.89491258
24,Quercus palustris,40.61890589,-73.9326219
13,Pyrus calleryana,40.67613624,-73.93547122
14,Acer platanoides,40.7631152,-73.7227204
43,Platanus x acerifolia,40.62935678,-74.03167343
15,Platanus x acerifolia,40.707224,-73.91870536
8,Acer platanoides,40.63789416,-73.89635723
32,Platanus x acerifolia,40.62618283,-74.10100105
19,Pyrus calleryana,40.58569735,-74.16000112
34,Platanus x acerifolia,40.79012215,-73.82379225
3,Quercus palustris,40.61900444,-74.17014171
14,Pyrus calleryana,40.7250246,-73.74131124
26,Platanus x acerifolia,40.63450731,-74.01545835
24,Quercus palustris,40.66913646,-73.7585209
4,Pyrus calleryana,40.53895467,-74.19044727
7,Pyrus calleryana,40.66131457,-73.83731029
6,Quercus palustris,40.59675332,-74.0680375
1,Quercus palustris,40.68274182,-73.91722658
22,Quercus palustris,40.63300663,-73.92418205
10,Quercus palustris,40.73817425,-73.92355028
16,Quercus palustris,40.62331884,-74.12258358
7,Pyrus calleryana,40.53597028,-74.19395826
5,Quercus palustris,40.70060625,-73.9368511
24,Platanus x acerifolia,40.59183204,-73.95111931
14,Platanus x acerifolia,40.64739418,-74.00667324
6,Pyrus calleryana,40.8594337,-73.89797017
8,Platanus x acerifolia,40.64856334,-73.97487206
11,Quercus palustris,40.80990664,-73.94060388
24,Platanus x acerifolia,40.60719984,-74.01040363
25,Platanus x acerifolia,40.76994814,-73.78134952
4,Pyrus calleryana,40.67470352,-73.87324636
17,Platanus x acerifolia,40.60305806,-73.76832094
16,Platanus x acerifolia,40.67897463,-73.9942327
7,Pyrus calleryana,40.53506145,-74.20764445
4,Platanus x acerifolia,40.81364576,-73.90491814
9,Pyrus calleryana,40.59833132,-74.07767285
14,Pyrus calleryana,40.60208445,-74.00931708
4,Pyrus calleryana,40.74937069,-73.88839417
18,Platanus x acerifolia,40.59601031,-73.98688711
17,Acer platanoides,40.60091154,-74.00321285
22,Platanus x acerifolia,40.64574141,-73.97438337
34,Platanus x acerifolia,40.67020482,-73.81866184
20,Acer platanoides,40.75976218,-73.72591959
15,Platanus x acerifolia,40.662632,-73.9629903
21,Platanus x acerifolia,40.72271955,-73.93682688
31,Quercus palustris,40.69306378,-73.80681147
9,Pyrus calleryana,40.54461362,-74.21011144
14,Platanus x acerifolia,40.71523425,-73.95414659
12,Platanus x acerifolia,40.69938292,-73.77819916
9,Pyrus calleryana,40.76074036,-74.00003761
32,Platanus x acerifolia,40.57231769,-74.11614644
32,Quercus palustris,40.73241104,-73.81759452
24,Platanus x acerifolia,40.85891042,-73.83913516
30,Platanus x acerifolia,40.5924251,-73.9480205
20,Platanus x acerifolia,40.65050106,-73.979765509999993
8,Pyrus calleryana,40.76139245,-73.90605237
31,Platanus x acerifolia,40.73902685,-73.72263722
10,Pyrus calleryana,40.71666223,-73.95483558
11,Pyrus calleryana,40.77357859,-73.96423835
3,Acer platanoides,40.69372947,-73.99273305
19,Acer platanoides,40.69850444,-73.73020031
26,Platanus x acerifolia,40.72604337,-73.81370361
7,Pyrus calleryana,40.74100729,-74.00575655
5,Quercus palustris,40.67756999,-73.91994352
10,Acer platanoides,40.50290741,-74.23910301
7,Pyrus calleryana,40.52113848,-74.21512609
